asset,venue,day,strategy,selected_mode,total_net_bps,mean_net_bps,total_gross_bps,mean_gross_bps,total_cost_bps,mean_cost_bps,mean_turnover,total_turnover,n_steps,positive_episode
AAPL,XNAS,2025-06-03,camp_r,ramp,4397.526762218569,0.4580757043977676,4479.081207475956,0.46657095911207874,81.5544452573864,0.008495254714311083,0.004791666666666666,46.0,9600,1
AAPL,XNAS,2025-06-03,micro_fixed,,2858.887624962984,0.2978007942669775,2918.409402307648,0.3040009794070467,59.52177734466396,0.006200185140069162,0.005625,54.0,9600,1
AAPL,XNAS,2025-06-03,momentum,,-4925.825737404515,-0.5131068476463037,-4804.715720029135,-0.5004912208363682,121.11001737538092,0.012615626809935512,0.005416666666666667,52.0,9600,0
AAPL,XNAS,2025-06-03,online_regime,,2858.887624962984,0.2978007942669775,2918.409402307648,0.3040009794070467,59.52177734466396,0.006200185140069162,0.005625,54.0,9600,1
AAPL,XNAS,2025-06-03,ramp_real,,4397.526762218569,0.4580757043977676,4479.081207475956,0.46657095911207874,81.5544452573864,0.008495254714311083,0.004791666666666666,46.0,9600,1
AAPL,XNAS,2025-06-03,ridge_static,,5161.436447848295,0.5376496299841974,5274.467664354417,0.5494237150369184,113.0312165061228,0.011774085052721124,0.0046875,45.0,9600,1
AAPL,XNAS,2025-06-03,signed_flow,,-1975.9347854115915,-0.20582654014704077,-1882.865128090494,-0.19613178417609312,93.06965732109761,0.009694755970947667,0.00625,60.0,9600,0
AAPL,XNAS,2025-06-04,camp_r,ramp,-106.94516670760149,-0.01066784705312733,-12.665187897146021,-0.0012633603887427453,94.27997881045548,0.009404486664384586,0.004189526184538653,42.0,10025,0
AAPL,XNAS,2025-06-04,micro_fixed,,-2227.272409925115,-0.22217181146385187,-2150.762333220324,-0.2145398836129999,76.51007670479096,0.007631927850851966,0.006583541147132169,66.0,10025,0
AAPL,XNAS,2025-06-04,momentum,,276.4009489740864,0.027571166979958744,326.3445239202711,0.03255306971773278,49.943574946184725,0.004981902737774037,0.002394014962593516,24.0,10025,1
AAPL,XNAS,2025-06-04,online_regime,,-2227.272409925115,-0.22217181146385187,-2150.762333220324,-0.2145398836129999,76.51007670479096,0.007631927850851966,0.006583541147132169,66.0,10025,0
AAPL,XNAS,2025-06-04,ramp_real,,-106.94516670760149,-0.01066784705312733,-12.665187897146021,-0.0012633603887427453,94.27997881045548,0.009404486664384586,0.004189526184538653,42.0,10025,0
AAPL,XNAS,2025-06-04,ridge_static,,101.9015565643563,0.010164743796943272,189.30756710136797,0.018883547840535458,87.40601053701162,0.008718804043592182,0.0037905236907730673,38.0,10025,1
AAPL,XNAS,2025-06-04,signed_flow,,-2751.4649173025414,-0.274460340878059,-2648.081950631326,-0.26414782549938415,103.38296667121546,0.010312515378674858,0.007780548628428928,78.0,10025,0
AAPL,XNAS,2025-06-05,camp_r,ramp,5261.59122029121,0.5866419021397269,5341.275988694523,0.5955263673424599,79.68476840331242,0.008884465202733016,0.002898873898985394,26.0,8969,1
AAPL,XNAS,2025-06-05,micro_fixed,,1301.1037382764482,0.14506675641391997,1378.705353228049,0.15371896011016267,77.60161495160078,0.0086522036962427,0.007581670197346416,68.0,8969,1
AAPL,XNAS,2025-06-05,momentum,,-6995.296754153638,-0.7799416606258934,-6875.019286825062,-0.7665313063691674,120.27746732857507,0.013410354256725952,0.006243728397814695,56.0,8969,0
AAPL,XNAS,2025-06-05,online_regime,,1301.1037382764482,0.14506675641391997,1378.705353228049,0.15371896011016267,77.60161495160078,0.0086522036962427,0.007581670197346416,68.0,8969,1
AAPL,XNAS,2025-06-05,ramp_real,,5261.59122029121,0.5866419021397269,5341.275988694523,0.5955263673424599,79.68476840331242,0.008884465202733016,0.002898873898985394,26.0,8969,1
AAPL,XNAS,2025-06-05,ridge_static,,5252.184866183984,0.5855931392779556,5326.473209328156,0.5938759292371676,74.28834314417288,0.00828278995921205,0.0026758835990634408,24.0,8969,1
AAPL,XNAS,2025-06-05,signed_flow,,-3053.717696125827,-0.34047471246803734,-2939.672741918732,-0.32775925319642457,114.0449542070948,0.012715459271612755,0.0078046604972683686,70.0,8969,0
AAPL,XNAS,2025-06-06,camp_r,ramp,1046.2491743750388,0.11435667005957359,1252.053631383715,0.1368514188855301,205.8044570086761,0.02249474882595651,0.013990600065580937,128.0,9149,1
AAPL,XNAS,2025-06-06,micro_fixed,,-203.9704441293581,-0.022294288351662268,-61.09771320102605,-0.006678075549352503,142.87273092833203,0.015616212802309765,0.012678981309432725,116.0,9149,0
AAPL,XNAS,2025-06-06,momentum,,6886.333479837209,0.7526870127704895,7098.334181398069,0.7758590208108065,212.00070156085974,0.023172008040316945,0.014427806317630342,132.0,9149,1
AAPL,XNAS,2025-06-06,online_regime,,-203.9704441293581,-0.022294288351662268,-61.09771320102605,-0.006678075549352503,142.87273092833203,0.015616212802309765,0.012678981309432725,116.0,9149,0
AAPL,XNAS,2025-06-06,ramp_real,,1046.2491743750388,0.11435667005957359,1252.053631383715,0.1368514188855301,205.8044570086761,0.02249474882595651,0.013990600065580937,128.0,9149,1
AAPL,XNAS,2025-06-06,ridge_static,,2310.557107031723,0.25254750322786346,2503.863866434303,0.27367623417141795,193.30675940258004,0.02112873094355449,0.012678981309432725,116.0,9149,1
AAPL,XNAS,2025-06-06,signed_flow,,2345.120009029438,0.2563252824384564,2476.4375802923723,0.27067849822848095,131.3175712629345,0.01435321579002454,0.010492950049185703,96.0,9149,1
AAPL,XNAS,2025-06-07,camp_r,ramp,571.124904575301,0.05956042387895516,803.0178201097992,0.08374364585564702,231.89291553449823,0.024183221976691857,0.011367191573678173,109.0,9589,1
