strategy,day,total_net_bps,mean_net_bps,mean_gross_bps,mean_cost_bps,turnover,active_share,hit_rate
micro_fixed,2025-06-03,2858.887624962984,0.2978007942669775,0.3040009794070466,0.006200185140069162,0.005625,0.103125,0.051666666666666666
momentum,2025-06-03,-4925.825737404515,-0.5131068476463037,-0.5004912208363682,0.012615626809935512,0.005416666666666667,0.0875,0.0403125
online_regime,2025-06-03,2858.887624962984,0.2978007942669775,0.3040009794070466,0.006200185140069162,0.005625,0.103125,0.051666666666666666
ramp_real,2025-06-03,4397.526762218569,0.4580757043977676,0.46657095911207863,0.008495254714311083,0.004791666666666666,0.0875,0.051875
ridge_static,2025-06-03,5161.436447848295,0.5376496299841974,0.5494237150369184,0.011774085052721124,0.0046875,0.08854166666666667,0.0528125
signed_flow,2025-06-03,-1975.9347854115915,-0.20582654014704077,-0.19613178417609312,0.009694755970947667,0.00625,0.109375,0.060625
micro_fixed,2025-06-04,-2227.272409925115,-0.22217181146385187,-0.2145398836129999,0.007631927850851966,0.006583541147132169,0.11970074812967581,0.06114713216957606
momentum,2025-06-04,276.40094897408636,0.02757116697995874,0.03255306971773278,0.004981902737774037,0.002394014962593516,0.035910224438902745,0.01885286783042394
online_regime,2025-06-04,-2227.272409925115,-0.22217181146385187,-0.2145398836129999,0.007631927850851966,0.006583541147132169,0.11970074812967581,0.06114713216957606
ramp_real,2025-06-04,-106.94516670760159,-0.01066784705312734,-0.0012633603887427529,0.009404486664384586,0.004189526184538653,0.07780548628428928,0.04349127182044888
ridge_static,2025-06-04,101.90155656435623,0.010164743796943265,0.01888354784053545,0.008718804043592182,0.0037905236907730673,0.0688279301745636,0.04029925187032419
signed_flow,2025-06-04,-2751.4649173025414,-0.274460340878059,-0.2641478254993841,0.010312515378674858,0.007780548628428928,0.1286783042394015,0.06014962593516209
micro_fixed,2025-06-05,1301.1037382764482,0.14506675641391997,0.15371896011016267,0.0086522036962427,0.007581670197346416,0.12375961645668414,0.06299475972795184
momentum,2025-06-05,-6995.296754153637,-0.7799416606258933,-0.7665313063691674,0.013410354256725952,0.006243728397814695,0.09365592596722043,0.037573865536849146
online_regime,2025-06-05,1301.1037382764482,0.14506675641391997,0.15371896011016267,0.0086522036962427,0.007581670197346416,0.12375961645668414,0.06299475972795184
ramp_real,2025-06-05,5261.59122029121,0.5866419021397269,0.5955263673424599,0.008884465202733016,0.002898873898985394,0.05017281748243951,0.02999219533950273
ridge_static,2025-06-05,5252.184866183984,0.5855931392779556,0.5938759292371676,0.008282789959212049,0.0026758835990634408,0.05017281748243951,0.030103690489463708
signed_flow,2025-06-05,-3053.717696125827,-0.34047471246803734,-0.32775925319642457,0.012715459271612755,0.0078046604972683686,0.12710447095551344,0.07013044932545434
micro_fixed,2025-06-06,-203.970444129358,-0.022294288351662257,-0.006678075549352491,0.015616212802309765,0.012678981309432725,0.24920756366816046,0.12635260684227784
momentum,2025-06-06,6886.333479837209,0.7526870127704895,0.7758590208108064,0.023172008040316945,0.014427806317630342,0.29183517324297736,0.15335009290632856
online_regime,2025-06-06,-203.970444129358,-0.022294288351662257,-0.006678075549352491,0.015616212802309765,0.012678981309432725,0.24920756366816046,0.12635260684227784
ramp_real,2025-06-06,1046.2491743750388,0.11435667005957359,0.1368514188855301,0.02249474882595651,0.013990600065580937,0.29183517324297736,0.14733850694064926
ridge_static,2025-06-06,2310.557107031723,0.25254750322786346,0.27367623417141795,0.02112873094355449,0.012678981309432725,0.25904470433927207,0.13050606623674718
signed_flow,2025-06-06,2345.120009029438,0.2563252824384564,0.27067849822848095,0.01435321579002454,0.010492950049185703,0.16723139140889715,0.09356213793857251
micro_fixed,2025-06-07,1805.815003869274,0.18832151463857275,0.205730170866686,0.017408656228113238,0.011158619251225363,0.19073938888309522,0.08843466471999166
momentum,2025-06-07,-5607.931119326547,-0.5848296088566636,-0.5673032262122383,0.017526382644425225,0.008447179059338826,0.14693920116800502,0.06663885702367296
online_regime,2025-06-07,1805.815003869274,0.18832151463857275,0.205730170866686,0.017408656228113238,0.011158619251225363,0.19073938888309522,0.08843466471999166
ramp_real,2025-06-07,571.124904575301,0.05956042387895516,0.08374364585564703,0.024183221976691857,0.011367191573678173,0.24705391594535406,0.12284909792470539
ridge_static,2025-06-07,2012.8713624003324,0.20991462742729505,0.23249450378289702,0.022579876355601942,0.009907185316508499,0.2282824069246011,0.11940765460423401
signed_flow,2025-06-07,-1622.8766591448975,-0.16924357692615472,-0.15037371843816513,0.018869858487989583,0.011471477734904579,0.19397225988111377,0.08780894775263323
