qty,policy,mean_is_bps
1000,alpha,2.7326299706808066
1000,liq,3.0434313652930918
1000,malp,2.1583834600469376
1000,twap,4.916543296238213
1000,vwap,4.748467345278772
3000,alpha,2.8748519680360123
3000,liq,3.1129547310752668
3000,malp,2.214958473555184
3000,twap,5.0888794706212686
3000,vwap,5.007049901690935
5000,alpha,2.9816047297119916
5000,liq,3.1489953618135442
5000,malp,2.2511874102203477
5000,twap,5.202343517113394
5000,vwap,5.188328881187618
